zonghe,#genre#
惊恐盗暮鬼怪,http://192.168.0.109:35455/yy/1382749525
动漫,http://192.168.0.109:35455/yy/25055036
【港台】鬼片 惊悚 喜剧,http://192.168.0.109:35455/yy/1351030377
我的兄弟叫顺溜,http://192.168.0.109:35455/yy/1459331991
鬼片 港片电影,http://192.168.0.109:35455/yy/1455891197
24h 我爱我家 纯音频,http://192.168.0.109:35455/yy/1356212303
国漫 一起看正在直播,http://192.168.0.109:35455/yy/1351417866
火凤凰之战狼七,http://192.168.0.109:35455/yy/1463088777
《武林外传》武侠,http://192.168.0.109:35455/yy/1394000563
少年包青天蓝光版,http://192.168.0.109:35455/yy/38498680
经典好剧,http://192.168.0.109:35455/yy/1354555195
【破案 悬疑 港剧】,http://192.168.0.109:35455/yy/1382800083
24h小时最玄幻 玄幻剧,http://192.168.0.109:35455/yy/1355171357
的直播间,http://192.168.0.109:35455/yy/1354129442
与狼共舞,http://192.168.0.109:35455/yy/1453955779
国漫动漫,http://192.168.0.109:35455/yy/1354768828
神探狄仁杰1,http://192.168.0.109:35455/yy/1382851575
夏洛特烦恼-国内电影-喜剧,http://192.168.0.109:35455/yy/1354936201
进来 陪你看动漫,http://192.168.0.109:35455/yy/1352866135
变形金刚,http://192.168.0.109:35455/yy/1382736803
金婚,http://192.168.0.109:35455/yy/1382736832
大家都在看的电视剧,http://192.168.0.109:35455/yy/1354930964
杭小妞,http://192.168.0.109:35455/yy/1382851590
军旅剧（回忆经典）,http://192.168.0.109:35455/yy/1356306672
福贵,http://192.168.0.109:35455/yy/1354926537
动漫,http://192.168.0.109:35455/yy/22777075
天道-9.2高分好剧,http://192.168.0.109:35455/yy/1382735574
活力满满,http://192.168.0.109:35455/yy/1382851585
情满四合院-高分电视剧,http://192.168.0.109:35455/yy/1382735541
二号交通站,http://192.168.0.109:35455/yy/1382735582
小兵张嘎,http://192.168.0.109:35455/yy/1354930225
速度与激情系列！-精彩大片,http://192.168.0.109:35455/yy/1382736911
血色浪漫,http://192.168.0.109:35455/yy/1354926676
三国演义94年经典版,http://192.168.0.109:35455/yy/1354936241
欢乐集结号-每天笑不停,http://192.168.0.109:35455/yy/1382741642
康熙王朝,http://192.168.0.109:35455/yy/1382736818
士兵突击,http://192.168.0.109:35455/yy/1382851600
平凡岁月,http://192.168.0.109:35455/yy/1382745117
炊事班的故事II,http://192.168.0.109:35455/yy/1382736885
武林外传 超清,http://192.168.0.109:35455/yy/21092633
时光的海,http://192.168.0.109:35455/yy/1382851579
经典港片动作搞笑,http://192.168.0.109:35455/yy/1459869766
雪中悍刀行,http://192.168.0.109:35455/yy/1382660835
金牌配角达叔系列,http://192.168.0.109:35455/yy/1354888728
梦梦古装武侠剧,http://192.168.0.109:35455/yy/1382881708
【飞哥全集】乐乐陪看,http://192.168.0.109:35455/yy/1352946111
少年包青天第三部,http://192.168.0.109:35455/yy/1382851540
【动漫】精彩国漫,http://192.168.0.109:35455/yy/28796627
情满四合院,http://192.168.0.109:35455/yy/1382736888
谢文东第五部,http://192.168.0.109:35455/yy/24486495
搞笑经典电影,http://192.168.0.109:35455/yy/1351537467
西游记后传 蓝光,http://192.168.0.109:35455/yy/1353392400
港片鬼片老电影,http://192.168.0.109:35455/yy/1355269576
鬼片、港片3000部,http://192.168.0.109:35455/yy/1335509613
破案港剧,http://192.168.0.109:35455/yy/1350670730
奇缘港台影院,http://192.168.0.109:35455/yy/1354889234
天龙神雕经典回忆,http://192.168.0.109:35455/yy/68260522
射雕英雄传,http://192.168.0.109:35455/yy/1462938994
精彩动漫,http://192.168.0.109:35455/yy/1420843376
港片电影,http://192.168.0.109:35455/yy/33897188
花千骨,http://192.168.0.109:35455/yy/1354943110
林正英合集,http://192.168.0.109:35455/yy/1453996620
精彩玄幻电影,http://192.168.0.109:35455/yy/1382688400
正阳门下 正在直播,http://192.168.0.109:35455/yy/1453059740
影视剧场,http://192.168.0.109:35455/yy/1355260855
【陪你看】金刚葫芦娃,http://192.168.0.109:35455/yy/1353323999
【战狼3吴京】首播,http://192.168.0.109:35455/yy/1456668939
动作 港片电影,http://192.168.0.109:35455/yy/1461037999
《石敢当》六耳猕猴,http://192.168.0.109:35455/yy/1394156613
【电视剧】天下第一,http://192.168.0.109:35455/yy/1354780649
周星驰喜剧武侠恐怖好看,http://192.168.0.109:35455/yy/29945997
林正英电影,http://192.168.0.109:35455/yy/1382841203
恐怖诡异墓穴,http://192.168.0.109:35455/yy/1382748585
开心果 正在直播,http://192.168.0.109:35455/yy/1457622044
斗破苍穹,http://192.168.0.109:35455/yy/1356051105
水浒传,http://192.168.0.109:35455/yy/1353873252
24【动漫】正在直播,http://192.168.0.109:35455/yy/1350984033
神探狄仁杰1,http://192.168.0.109:35455/yy/1354930934
电影百团大战,http://192.168.0.109:35455/yy/1382736871
热血抗日电影,http://192.168.0.109:35455/yy/1382749907
亲爱的热爱的,http://192.168.0.109:35455/yy/1354932433
动漫奥斯卡正在直播,http://192.168.0.109:35455/yy/1382626335
请回答1988,http://192.168.0.109:35455/yy/1354932362
澳门风云,http://192.168.0.109:35455/yy/1459243913
欢乐颂,http://192.168.0.109:35455/yy/1382851577
野山鹰-影视剧,http://192.168.0.109:35455/yy/1354932395
欢乐集结号,http://192.168.0.109:35455/yy/1382735550
西游记后传,http://192.168.0.109:35455/yy/1382736846
初恋脸,http://192.168.0.109:35455/yy/1382851597
僵尸  港片电影,http://192.168.0.109:35455/yy/1382780025
憨豆先生-经典喜剧,http://192.168.0.109:35455/yy/1354936239
速度与激情全集,http://192.168.0.109:35455/yy/1382749892
少年包青天美黑之旅,http://192.168.0.109:35455/yy/1354936141
成龙系列,http://192.168.0.109:35455/yy/1354888751
新白娘子传奇-女神赵雅芝,http://192.168.0.109:35455/yy/1354930969
宫锁珠帘,http://192.168.0.109:35455/yy/1354926666
少年四大名捕,http://192.168.0.109:35455/yy/1354936203
小惠_郭德纲相声迷,http://192.168.0.109:35455/yy/1382851593
国内侦探电影大全,http://192.168.0.109:35455/yy/1354936134
小欢喜,http://192.168.0.109:35455/yy/1382737888
晨晨的影视小窝,http://192.168.0.109:35455/yy/1382851576
�逋鞠盗�-国产喜剧,http://192.168.0.109:35455/yy/1382736856
赌神-发哥,http://192.168.0.109:35455/yy/1354889044
郝蕾演绎-情满四合院,http://192.168.0.109:35455/yy/1382745089
陈情令,http://192.168.0.109:35455/yy/1382745121
炊事班的故事,http://192.168.0.109:35455/yy/1382749901
【电影】国外高分热门电影,http://192.168.0.109:35455/yy/1509338836
敢死队-精彩动作电影,http://192.168.0.109:35455/yy/1382735573
纯纯纯儿,http://192.168.0.109:35455/yy/1382851589
洪金宝福星系列,http://192.168.0.109:35455/yy/1354924839
穿越时空的爱恋,http://192.168.0.109:35455/yy/1382735567
神探狄仁杰2,http://192.168.0.109:35455/yy/1382828767
单挑荒野第一季,http://192.168.0.109:35455/yy/1354933535
爱笑仙子,http://192.168.0.109:35455/yy/1382736838
少年包青天第三部,http://192.168.0.109:35455/yy/1382736814
女医明妃传,http://192.168.0.109:35455/yy/1382736861
读心神探,http://192.168.0.109:35455/yy/1382736875
哑巴竟然会说话,http://192.168.0.109:35455/yy/1354932427
欢乐一起看,http://192.168.0.109:35455/yy/1354930926
每天都要快乐哦！,http://192.168.0.109:35455/yy/1354930909
施公奇案1-欧阳震华,http://192.168.0.109:35455/yy/1382749918
中国味道 第4季-美食纪录片,http://192.168.0.109:35455/yy/1382736845
十大经典港剧之《大时代》,http://192.168.0.109:35455/yy/1354930891
欢乐集结号2,http://192.168.0.109:35455/yy/1354930919
热血动作电影,http://192.168.0.109:35455/yy/1382736804
笑声传奇,http://192.168.0.109:35455/yy/1382736880
震撼！国内功夫大片,http://192.168.0.109:35455/yy/1382736902
电视剧-流金岁月,http://192.168.0.109:35455/yy/1382749906
金星脱口秀-爆笑回归,http://192.168.0.109:35455/yy/1382749951
科幻惊悚片-异形,http://192.168.0.109:35455/yy/1382735543
父母爱情,http://192.168.0.109:35455/yy/1382746276
伪装者,http://192.168.0.109:35455/yy/1354936244
红楼梦1987经典版,http://192.168.0.109:35455/yy/1382745084
探秘中华美食,http://192.168.0.109:35455/yy/1354930954
这部剧你居然没看过？,http://192.168.0.109:35455/yy/1354932355
华子系列,http://192.168.0.109:35455/yy/1354888726
你是最美的风景,http://192.168.0.109:35455/yy/1382851599
大进军全集：红色系列电影,http://192.168.0.109:35455/yy/1382745083
我的前半生,http://192.168.0.109:35455/yy/1382735564
杭小妞,http://192.168.0.109:35455/yy/1382736910
田园生活,http://192.168.0.109:35455/yy/1382736898
我的体育老师,http://192.168.0.109:35455/yy/1382745169
你最爱的宋小宝,http://192.168.0.109:35455/yy/1354936198
非诚勿扰,http://192.168.0.109:35455/yy/1382735583
经典大片合集,http://192.168.0.109:35455/yy/1382749895
双月之城-国漫,http://192.168.0.109:35455/yy/1382736907
张国荣与周润发的兄弟情,http://192.168.0.109:35455/yy/1354930961
蔡明春晚小品,http://192.168.0.109:35455/yy/1354936177
熊出没之探险日记S1-国漫,http://192.168.0.109:35455/yy/1354930977
魔幻手机,http://192.168.0.109:35455/yy/1382735544
萌萌爱追剧,http://192.168.0.109:35455/yy/1382745093
金婚,http://192.168.0.109:35455/yy/1382828768
士兵突击,http://192.168.0.109:35455/yy/1382828766
仙剑奇侠传-神仙姐姐驾到,http://192.168.0.109:35455/yy/1382749903
情满四合院,http://192.168.0.109:35455/yy/1382736848
小沈阳春晚小品,http://192.168.0.109:35455/yy/1382749941
暖暖1999,http://192.168.0.109:35455/yy/1382851591
新世界,http://192.168.0.109:35455/yy/1382736850
炊事班的故事1-2,http://192.168.0.109:35455/yy/1382736886
宝莲灯前传,http://192.168.0.109:35455/yy/1354931631
第8号当铺,http://192.168.0.109:35455/yy/1382736905
国内高分悬疑剧-风筝,http://192.168.0.109:35455/yy/1354931585
院线动作大片,http://192.168.0.109:35455/yy/1382736900
本山快乐营1,http://192.168.0.109:35455/yy/1354936209
小宝让你乐翻天：6到9集,http://192.168.0.109:35455/yy/1354930971
国内玄幻电影-林正英,http://192.168.0.109:35455/yy/1354932444
上海滩,http://192.168.0.109:35455/yy/1382745184
农家小菜,http://192.168.0.109:35455/yy/1382736894
侏罗纪世界-国外科幻大片合集,http://192.168.0.109:35455/yy/1382736851
香港院线大片-最新,http://192.168.0.109:35455/yy/1354936242
黄大妮-电视剧,http://192.168.0.109:35455/yy/1354930904
密子君,http://192.168.0.109:35455/yy/1382736717
易中天品三国,http://192.168.0.109:35455/yy/1354931498
精彩动作电影享不停,http://192.168.0.109:35455/yy/1382736809
心中的白月光,http://192.168.0.109:35455/yy/1382851580
一笑倾城,http://192.168.0.109:35455/yy/1382735553
动物世界,http://192.168.0.109:35455/yy/1382749889
金星脱口秀：我敢说你敢听吗,http://192.168.0.109:35455/yy/1382735552
爆笑小品大合集,http://192.168.0.109:35455/yy/1382736821
你的回忆有我吗,http://192.168.0.109:35455/yy/1354889024
叶问全集,http://192.168.0.109:35455/yy/1382828771
欢乐集结号,http://192.168.0.109:35455/yy/1354931582
北京爱情故事，心动不打烊,http://192.168.0.109:35455/yy/1382744423
法证先锋Ⅱ,http://192.168.0.109:35455/yy/1354888736
美国队长史蒂夫,http://192.168.0.109:35455/yy/1382736813
人生必看的科幻片,http://192.168.0.109:35455/yy/1382745114
风筝,http://192.168.0.109:35455/yy/1382828770
真心想让你幸福,http://192.168.0.109:35455/yy/1382736876
我爱我家,http://192.168.0.109:35455/yy/1382735557
灌篮高手,http://192.168.0.109:35455/yy/1382735626
007系列动作大片,http://192.168.0.109:35455/yy/1382736897
甜甜的恋爱 这狗粮我吃了,http://192.168.0.109:35455/yy/1354932438
另类民兵葛二蛋,http://192.168.0.109:35455/yy/1382736895
舌尖上的中国第2季,http://192.168.0.109:35455/yy/1354930943
法证先锋,http://192.168.0.109:35455/yy/1354930939
神探狄仁杰2,http://192.168.0.109:35455/yy/1382851146
今夜欢乐颂,http://192.168.0.109:35455/yy/1382735572
无敌县令,http://192.168.0.109:35455/yy/1354932390
大明王朝,http://192.168.0.109:35455/yy/1382736879
银河护卫队-国外科幻巨作,http://192.168.0.109:35455/yy/1382736815
魔幻手机,http://192.168.0.109:35455/yy/1382851541
了不起的萝莉小玲,http://192.168.0.109:35455/yy/1382736799
发哥系列,http://192.168.0.109:35455/yy/1354888733
三国演义【1994】,http://192.168.0.109:35455/yy/1354930932
金星脱口秀,http://192.168.0.109:35455/yy/1354931503
这个杀手不太冷-国外经典动作片,http://192.168.0.109:35455/yy/1354936122
大汉贤后卫子夫,http://192.168.0.109:35455/yy/1382735569
国外科幻大作合集,http://192.168.0.109:35455/yy/1382736836
开心小泡芙,http://192.168.0.109:35455/yy/1382851578
转角遇到爱,http://192.168.0.109:35455/yy/1382745085
国内喜剧,http://192.168.0.109:35455/yy/1382736862
来自星星的你,http://192.168.0.109:35455/yy/1354930976
吐槽大会 第2季,http://192.168.0.109:35455/yy/1354936145
粟裕大将-影视,http://192.168.0.109:35455/yy/1354926542
非诚勿扰,http://192.168.0.109:35455/yy/1382745100
法证先锋Ⅲ,http://192.168.0.109:35455/yy/1382736802
超精彩！系列动作电影,http://192.168.0.109:35455/yy/1382745096
笑傲帮,http://192.168.0.109:35455/yy/1382735555
编辑部的故事,http://192.168.0.109:35455/yy/1354936120
复仇者联盟全季,http://192.168.0.109:35455/yy/1354936167
小敏,http://192.168.0.109:35455/yy/1382736890
法证先锋2,http://192.168.0.109:35455/yy/1382736870
舌尖上的中国第一季,http://192.168.0.109:35455/yy/1354930952
流金岁月-经典港剧,http://192.168.0.109:35455/yy/1382736891
颜值永远在线,http://192.168.0.109:35455/yy/1382851582
风靡全球的谍战片,http://192.168.0.109:35455/yy/1382736817
永远的经典系列,http://192.168.0.109:35455/yy/1354930204
大江大河-高分影视推荐,http://192.168.0.109:35455/yy/1382736806
大江大河2-高分影视推荐,http://192.168.0.109:35455/yy/1382736797
高分科幻动作片,http://192.168.0.109:35455/yy/1382749948
深海利剑,http://192.168.0.109:35455/yy/1382736906
百家讲坛――之明太祖朱元璋,http://192.168.0.109:35455/yy/1354936149
吐槽大会 第5季,http://192.168.0.109:35455/yy/1354889009
迷,http://192.168.0.109:35455/yy/1382736719
最美的青春,http://192.168.0.109:35455/yy/1382745116
动作大片-叶问宗师觉醒,http://192.168.0.109:35455/yy/1354936181
忠烈杨家将,http://192.168.0.109:35455/yy/1382749909
渴望,http://192.168.0.109:35455/yy/1354930963
国内喜剧,http://192.168.0.109:35455/yy/1382735563
珍珠港-电影,http://192.168.0.109:35455/yy/1354936234
原始人大挑战,http://192.168.0.109:35455/yy/1382736884
国外院线动作大片,http://192.168.0.109:35455/yy/1382735570
二号交通站,http://192.168.0.109:35455/yy/1354930965
距离你500米,http://192.168.0.109:35455/yy/1354821987
笑傲江湖-电视剧,http://192.168.0.109:35455/yy/1354936128
妖神记,http://192.168.0.109:35455/yy/1382745171
侏罗纪公园三部曲,http://192.168.0.109:35455/yy/1354936191
今晚80后脱口秀,http://192.168.0.109:35455/yy/1382745098
我的父亲我的兵,http://192.168.0.109:35455/yy/1353413714
热血战争巨作,http://192.168.0.109:35455/yy/1382745087
岳云鹏宋小宝也来演电影了？,http://192.168.0.109:35455/yy/1354926612
欢乐集结号3,http://192.168.0.109:35455/yy/1382736822
叛逆者,http://192.168.0.109:35455/yy/1382736868
小生物的故事,http://192.168.0.109:35455/yy/1382736834
少年歌行,http://192.168.0.109:35455/yy/1450556636
飞虎之潜行极战,http://192.168.0.109:35455/yy/1354932420
欢乐饭米粒儿，笑点密集来袭,http://192.168.0.109:35455/yy/1382736798
辉煌或疯狂-韩剧,http://192.168.0.109:35455/yy/1382749902
科幻片：来看神奇的地球,http://192.168.0.109:35455/yy/1354930897
超激烈的猎食场面,http://192.168.0.109:35455/yy/1382749898
小甜甜    闯关东,http://192.168.0.109:35455/yy/1354689861
国外动作大片-夺宝奇兵1-4,http://192.168.0.109:35455/yy/1382736833
超燃警匪片,http://192.168.0.109:35455/yy/1382735576
宫心计,http://192.168.0.109:35455/yy/1354932429
金玉满堂：精彩港剧,http://192.168.0.109:35455/yy/1382736881
小小飞虎队,http://192.168.0.109:35455/yy/1382749888
温柔好声音 给你停靠港,http://192.168.0.109:35455/yy/1349538007
超英集结,http://192.168.0.109:35455/yy/1382745091
小鬼当家-童年回忆,http://192.168.0.109:35455/yy/1382745104
超燃科幻大片：明日边缘,http://192.168.0.109:35455/yy/1382736835
漫画解说,http://192.168.0.109:35455/yy/1382735568
贾玲春晚小品,http://192.168.0.109:35455/yy/1382736720
强悍“杀猪婆”的励志人生,http://192.168.0.109:35455/yy/1354658062
国产大片电影,http://192.168.0.109:35455/yy/1354926655
宫心计,http://192.168.0.109:35455/yy/1382828769
距离你500米,http://192.168.0.109:35455/yy/1354923611
机械战警1-3,http://192.168.0.109:35455/yy/1382736854
经典抗战100部,http://192.168.0.109:35455/yy/1354508622
本山快乐营,http://192.168.0.109:35455/yy/1354933529
漫威十年老粉福利来了,http://192.168.0.109:35455/yy/1354930233
以家人之名,http://192.168.0.109:35455/yy/1382736908
风味原产地潮汕,http://192.168.0.109:35455/yy/1382745178
新主播，求照顾,http://192.168.0.109:35455/yy/1382690406
加勒比海盗系列,http://192.168.0.109:35455/yy/1382749914
寻秦记,http://192.168.0.109:35455/yy/1354658048
施公奇案2-欧阳震华,http://192.168.0.109:35455/yy/1382736824
科幻电影,http://192.168.0.109:35455/yy/1354930209
小师妹rua,http://192.168.0.109:35455/yy/1382736975
洪大哥系列,http://192.168.0.109:35455/yy/1354888743
【科幻】超炫特效,http://192.168.0.109:35455/yy/37988782
外星人到地球--超能疯人院,http://192.168.0.109:35455/yy/1354930945
宫心计-港剧-古装,http://192.168.0.109:35455/yy/1354933540
倚天屠龙记,http://192.168.0.109:35455/yy/33300793
国产动作电影,http://192.168.0.109:35455/yy/1382736858
闲暇观看综艺,http://192.168.0.109:35455/yy/1354932379
迷糊不迷糊 正在直播,http://192.168.0.109:35455/yy/1461931969
国内动作大片,http://192.168.0.109:35455/yy/1382745176
空谷幽兰,http://192.168.0.109:35455/yy/1382745182
热门喜剧,http://192.168.0.109:35455/yy/1354931495
动作大片-热血开打,http://192.168.0.109:35455/yy/1354936168
TVB收视爆剧-溏心风暴,http://192.168.0.109:35455/yy/1382736916
学生兵,http://192.168.0.109:35455/yy/1354658003
海王-院线大片,http://192.168.0.109:35455/yy/1354936142
动作大片,http://192.168.0.109:35455/yy/1354888739
泡芙陪你看电影,http://192.168.0.109:35455/yy/24407222
老广的味道 第3季-美食纪录片,http://192.168.0.109:35455/yy/1382735565
尽享国内精彩战争片,http://192.168.0.109:35455/yy/1382745094
苦乐村官,http://192.168.0.109:35455/yy/1382736864
经典电影重温,http://192.168.0.109:35455/yy/1382793140
巩汉林春晚小品合集,http://192.168.0.109:35455/yy/1354889035
哈利波特全集,http://192.168.0.109:35455/yy/1382745105
国外科幻,http://192.168.0.109:35455/yy/1382736800
保护我家蓉儿,http://192.168.0.109:35455/yy/1370293254
娘亲舅大,http://192.168.0.109:35455/yy/1354932360
河山,http://192.168.0.109:35455/yy/1382749952
和你不见不散,http://192.168.0.109:35455/yy/1355635293
一分钟学道菜,http://192.168.0.109:35455/yy/1382736901
来看修牛蹄,http://192.168.0.109:35455/yy/1382749887
非诚勿扰,http://192.168.0.109:35455/yy/1382745106
末日系列-外国电影合集,http://192.168.0.109:35455/yy/1354889019
燃爆动作片,http://192.168.0.109:35455/yy/1382736801
漫威超级英雄系列,http://192.168.0.109:35455/yy/1354932402
绝版鬼片港片,http://192.168.0.109:35455/yy/1382743247
战狼7吴京退役,http://192.168.0.109:35455/yy/1382773714
